"key","scientificName","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","license","isSequenced","identifier","facts","relations","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","identifier.1","http...unknown.org.nick","verbatimEventDate","gbifID","collectionCode","verbatimLocality","occurrenceID","taxonID","catalogNumber","institutionCode","eventTime","http...unknown.org.captive","identificationID","name","infraspecificEpithet","coordinateUncertaintyInMeters","occurrenceRemarks","gadm","projectId","sex","dynamicProperties","vitality","lifeStage","recordedByIDs.type","recordedByIDs.value","informationWithheld","identifiedByIDs.type","identifiedByIDs.value","locality","individualCount","samplingProtocol","vernacularName","habitat","identificationVerificationStatus","eventType","programmeAcronym","elevation","elevationAccuracy","depth","depthAccuracy","higherGeography","eventID","locationID","accessRights","higherClassification","georeferenceSources","georeferencedBy","organismQuantity","organismQuantityType","georeferencedDate","nomenclaturalCode","institutionID","georeferenceVerificationStatus","county","verbatimCoordinateSystem","eventRemarks","georeferenceProtocol","municipality","locationRemarks","fieldNotes","organismName","ownerInstitutionCode","networkKeys","institutionKey","collectionKey","otherCatalogNumbers","preparations","disposition","identificationRemarks","acceptedNameUsage","fieldNumber","associatedSequences","taxonConceptID","recordNumber","language","datasetID","type","organismID","collectionID","ID_p","X","Y"
5008151648,"Cephalophus natalensis A.Smith, 1834","cdc,cdround,txmatfuz","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2025-02-16T04:52:36.717+00:00","2025-02-16T15:54:33.634+00:00",518,"HUMAN_OBSERVATION","PRESENT",2441168,1,44,359,731,9614,2441152,2441168,2441168,"Cephalophus natalensis A.Smith, 1834","Animalia","Chordata","Artiodactyla","Bovidae","Cephalophus","Cephalophus natalensis","Cephalophus","natalensis","SPECIES","ACCEPTED","LC","2025-01-06T08:37:51","AFRICA","KwaZulu-Natal",2025,1,5,"2025-01-05T12:09:40",5,5,"2025-01-06T11:10:30.000+00:00","2025-02-16T15:54:33.634+00:00","https://www.inaturalist.org/observations/257568734","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"257568734","none","none",FALSE,"iNaturalist research-grade observations","Margaret Lilienfeld","Margaret Lilienfeld","WGS84","Mammalia","ZA","none","none","AFRICA","South Africa","NORTH_AMERICA","Margaret Lilienfeld","257568734","margilil","2025-01-05 12:09:40",5008151648,"Observations","Simbithi Eco Estate, 4399, South Africa","https://www.inaturalist.org/observations/257568734","1431002","257568734","iNaturalist","12:09:40+02:00","wild",580780061,"Cephalophus natalensis A.Smith, 1834",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2779522.86970105,-3786501.33150834
5063542589,"Cephalophus natalensis A.Smith, 1834","cdc,cdround,txmatfuz","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2025-02-16T04:52:36.717+00:00","2025-02-16T15:56:50.262+00:00",518,"HUMAN_OBSERVATION","PRESENT",2441168,1,44,359,731,9614,2441152,2441168,2441168,"Cephalophus natalensis A.Smith, 1834","Animalia","Chordata","Artiodactyla","Bovidae","Cephalophus","Cephalophus natalensis","Cephalophus","natalensis","SPECIES","ACCEPTED","LC","2025-01-27T20:39:50","AFRICA","Mpumalanga",2025,1,27,"2025-01-27T00:33",27,27,"2025-01-28T21:05:31.000+00:00","2025-02-16T15:56:50.262+00:00","https://www.inaturalist.org/observations/259792864","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"259792864","none","none",FALSE,"iNaturalist research-grade observations","marshallm7","marshallm7","WGS84","Mammalia","ZA","none","none","AFRICA","South Africa","NORTH_AMERICA","marshallm7","259792864","marshallm7","2025/01/27 12:33 AM",5063542589,"Observations","Pullen Farm, Nelspruit, South Africa","https://www.inaturalist.org/observations/259792864","1431002","259792864","iNaturalist","00:33:00+02:00","wild",587168210,"Cephalophus natalensis A.Smith, 1834",NA,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2814917.79371481,-3303138.86470578
5063662570,"Cephalophus natalensis A.Smith, 1834","cdc,cdround,txmatfuz","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2025-02-16T04:52:36.717+00:00","2025-02-16T19:44:30.525+00:00",518,"HUMAN_OBSERVATION","PRESENT",2441168,1,44,359,731,9614,2441152,2441168,2441168,"Cephalophus natalensis A.Smith, 1834","Animalia","Chordata","Artiodactyla","Bovidae","Cephalophus","Cephalophus natalensis","Cephalophus","natalensis","SPECIES","ACCEPTED","LC","2025-01-31T19:51:03","AFRICA","Mpumalanga",2025,1,8,"2025-01-08T15:34",8,8,"2025-02-03T11:12:49.000+00:00","2025-02-16T19:44:30.525+00:00","https://www.inaturalist.org/observations/260184034","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"260184034","none","none",FALSE,"iNaturalist research-grade observations","Simon Attwood","Simon Attwood","WGS84","Mammalia","ZA","none","none","AFRICA","South Africa","NORTH_AMERICA","Simon Attwood","260184034","simon_attwood","2025/01/08 3:34 PM",5063662570,"Observations","Ehlanzeni District Municipality, South Africa","https://www.inaturalist.org/observations/260184034","1431002","260184034","iNaturalist","15:34:00+02:00","wild",588285347,"Cephalophus natalensis A.Smith, 1834",NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2794252.18626361,-3189407.79368657
4512195488,"Cephalophus natalensis A.Smith, 1834","cdc,cdround,txmatfuz","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2025-02-16T04:52:36.717+00:00","2025-02-16T15:02:36.960+00:00",518,"HUMAN_OBSERVATION","PRESENT",2441168,1,44,359,731,9614,2441152,2441168,2441168,"Cephalophus natalensis A.Smith, 1834","Animalia","Chordata","Artiodactyla","Bovidae","Cephalophus","Cephalophus natalensis","Cephalophus","natalensis","SPECIES","ACCEPTED","LC","2024-01-11T03:47:10","AFRICA","Hhohho",2024,1,11,"2024-01-11T05:40:43",11,11,"2024-01-11T11:34:10.000+00:00","2025-02-16T15:02:36.960+00:00","https://www.inaturalist.org/observations/196326137","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"196326137","none","none",FALSE,"iNaturalist research-grade observations","spea","spea","WGS84","Mammalia","SZ","none","none","AFRICA","Eswatini","NORTH_AMERICA","spea","196326137","spea","2024-01-11 05:40:43+02:00",4512195488,"Observations","Hhohho, SZ","https://www.inaturalist.org/observations/196326137","1431002","196326137","iNaturalist","05:40:43+02:00","wild",442219731,"Cephalophus natalensis A.Smith, 1834",NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2822118.82855003,-3344296.09596106
4516760582,"Cephalophus natalensis natalensis","cdc,cdround,txmatfuz","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2025-02-16T04:52:36.717+00:00","2025-02-16T15:03:43.042+00:00",518,"HUMAN_OBSERVATION","PRESENT",7261399,1,44,359,731,9614,2441152,2441168,7261399,"Cephalophus natalensis natalensis","Animalia","Chordata","Artiodactyla","Bovidae","Cephalophus","Cephalophus natalensis","Cephalophus","natalensis","SUBSPECIES","ACCEPTED",NA,"2024-01-24T13:17:45","AFRICA","KwaZulu-Natal",2024,1,24,"2024-01-24T07:03",24,24,"2024-01-27T20:30:26.000+00:00","2025-02-16T15:03:43.042+00:00","https://www.inaturalist.org/observations/197458545","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"197458545","none","none",FALSE,"iNaturalist research-grade observations","cefox","cefox","WGS84","Mammalia","ZA","none","none","AFRICA","South Africa","NORTH_AMERICA","cefox","197458545","cefox","2024-01-24 07:03:00",4516760582,"Observations","St Lucia, 3936, South Africa","https://www.inaturalist.org/observations/197458545","1431328","197458545","iNaturalist","07:03:00+02:00","wild",445849884,"Cephalophus natalensis natalensis","natalensis",47,"Male, female & young of about 1 to 2 months. Have observed adults feeding on fallen avocados.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2898219.48105259,-3648227.5282969
4519253382,"Cephalophus natalensis natalensis","cdc,txmatfuz","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2025-02-16T04:52:36.717+00:00","2025-02-16T15:04:39.413+00:00",518,"HUMAN_OBSERVATION","PRESENT",7261399,1,44,359,731,9614,2441152,2441168,7261399,"Cephalophus natalensis natalensis","Animalia","Chordata","Artiodactyla","Bovidae","Cephalophus","Cephalophus natalensis","Cephalophus","natalensis","SUBSPECIES","ACCEPTED",NA,"2024-02-04T17:18:45","AFRICA","KwaZulu-Natal",2024,1,1,"2024-01-01T13:35",1,1,"2024-02-04T18:48:27.000+00:00","2025-02-16T15:04:39.413+00:00","https://www.inaturalist.org/observations/198407592","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"198407592","none","none",FALSE,"iNaturalist research-grade observations","magdastlucia","magdastlucia","WGS84","Mammalia","ZA","none","none","AFRICA","South Africa","NORTH_AMERICA","magdastlucia","198407592","magdastlucia","2024/01/01 1:35 PM",4519253382,"Observations","iSimangaliso, South Africa","https://www.inaturalist.org/observations/198407592","1431328","198407592","iNaturalist","13:35:00+02:00","wild",448679012,"Cephalophus natalensis natalensis","natalensis",100,NA,NA,"https://www.inaturalist.org/projects/habitats-s-afr","Male","{""evidenceOfPresence"":""organism""}","alive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2898038.11619972,-3631808.44691542
4606862140,"Cephalophus natalensis A.Smith, 1834","cdc,cdround,txmatfuz","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2025-02-16T04:52:36.717+00:00","2025-02-16T15:10:36.445+00:00",518,"HUMAN_OBSERVATION","PRESENT",2441168,1,44,359,731,9614,2441152,2441168,2441168,"Cephalophus natalensis A.Smith, 1834","Animalia","Chordata","Artiodactyla","Bovidae","Cephalophus","Cephalophus natalensis","Cephalophus","natalensis","SPECIES","ACCEPTED","LC","2024-04-01T14:12:35","AFRICA","Mpumalanga",2024,4,1,"2024-04-01T12:53",92,92,"2024-04-02T19:32:38.000+00:00","2025-02-16T15:10:36.445+00:00","https://www.inaturalist.org/observations/204925258","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"204925258","none","none",FALSE,"iNaturalist research-grade observations","qgrobler","qgrobler","WGS84","Mammalia","ZA","none","none","AFRICA","South Africa","NORTH_AMERICA","qgrobler","204925258","qgrobler","2024/04/01 12:53 PM",4606862140,"Observations","Ehlanzeni District Municipality, South Africa","https://www.inaturalist.org/observations/204925258","1431002","204925258","iNaturalist","12:53:00+02:00","wild",465662229,"Cephalophus natalensis A.Smith, 1834",NA,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2773094.38799167,-3278485.49713688
4847164406,"Cephalophus natalensis A.Smith, 1834","cdc,cdround,txmatfuz","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2025-02-16T04:52:36.717+00:00","2025-02-16T15:12:41.971+00:00",518,"HUMAN_OBSERVATION","PRESENT",2441168,1,44,359,731,9614,2441152,2441168,2441168,"Cephalophus natalensis A.Smith, 1834","Animalia","Chordata","Artiodactyla","Bovidae","Cephalophus","Cephalophus natalensis","Cephalophus","natalensis","SPECIES","ACCEPTED","LC","2024-04-13T12:27:01","AFRICA","Mpumalanga",2024,4,13,"2024-04-13T09:29:33",104,104,"2024-04-15T12:59:04.000+00:00","2025-02-16T15:12:41.971+00:00","https://www.inaturalist.org/observations/206937843","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"206937843","none","none",FALSE,"iNaturalist research-grade observations","Heinrich Human","Heinrich Human","WGS84","Mammalia","ZA","none","none","AFRICA","South Africa","NORTH_AMERICA","Heinrich Human","206937843","heinrichhuman","2024-04-13 09:29:33+02:00",4847164406,"Observations","City Of Mbombela Rural, MP, ZA","https://www.inaturalist.org/observations/206937843","1431002","206937843","iNaturalist","09:29:33+02:00","wild",470231627,"Cephalophus natalensis A.Smith, 1834",NA,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2795713.39252793,-3306752.67790849
4853178765,"Cephalophus natalensis A.Smith, 1834","cdc,cdround,txmatfuz","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2025-02-16T04:52:36.717+00:00","2025-02-16T15:16:11.778+00:00",518,"HUMAN_OBSERVATION","PRESENT",2441168,1,44,359,731,9614,2441152,2441168,2441168,"Cephalophus natalensis A.Smith, 1834","Animalia","Chordata","Artiodactyla","Bovidae","Cephalophus","Cephalophus natalensis","Cephalophus","natalensis","SPECIES","ACCEPTED","LC","2024-04-28T18:55:18","AFRICA","KwaZulu-Natal",2024,4,28,"2024-04-28T13:15",119,119,"2024-05-05T19:57:42.000+00:00","2025-02-16T15:16:11.778+00:00","https://www.inaturalist.org/observations/211022429","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"211022429","none","none",FALSE,"iNaturalist research-grade observations","hendrikmc","hendrikmc","WGS84","Mammalia","ZA","none","none","AFRICA","South Africa","NORTH_AMERICA","hendrikmc","211022429","hendrikmc","2024/04/28 1:15 PM",4853178765,"Observations","Enseleni Nature Reserve, 3901 N2, Neerensee, Richards Bay, 3901, South Africa","https://www.inaturalist.org/observations/211022429","1431002","211022429","iNaturalist","13:15:00+02:00","wild",477810580,"Cephalophus natalensis A.Smith, 1834",NA,870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2857524.119544,-3686620.19532674
4853182292,"Cephalophus natalensis A.Smith, 1834","cdc,cdround,txmatfuz","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2025-02-16T04:52:36.717+00:00","2025-02-16T15:16:14.879+00:00",518,"HUMAN_OBSERVATION","PRESENT",2441168,1,44,359,731,9614,2441152,2441168,2441168,"Cephalophus natalensis A.Smith, 1834","Animalia","Chordata","Artiodactyla","Bovidae","Cephalophus","Cephalophus natalensis","Cephalophus","natalensis","SPECIES","ACCEPTED","LC","2024-04-28T20:37:58","AFRICA","KwaZulu-Natal",2024,4,28,"2024-04-28T09:36:35",119,119,"2024-05-02T17:55:08.000+00:00","2025-02-16T15:16:14.879+00:00","https://www.inaturalist.org/observations/211092631","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"211092631","none","none",FALSE,"iNaturalist research-grade observations","Dylan Leonard","Dylan Leonard","WGS84","Mammalia","ZA","none","none","AFRICA","South Africa","NORTH_AMERICA","Dylan Leonard","211092631","dylanleonard","2024-04-28 09:36:35",4853182292,"Observations","Stellenbosch 7600 South Africa, Umdloti Beach, eMdloti, 4319, South Africa","https://www.inaturalist.org/observations/211092631","1431002","211092631","iNaturalist","09:36:35+02:00","wild",477907749,"Cephalophus natalensis A.Smith, 1834",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,2768938.94472085,-3804222.60014943
