"key","scientificName","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","license","isSequenced","identifier","facts","relations","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","identifier.1","http...unknown.org.nick","verbatimEventDate","gbifID","collectionCode","verbatimLocality","occurrenceID","taxonID","catalogNumber","institutionCode","eventTime","http...unknown.org.captive","identificationID","name","individualCount","lifeStage","samplingProtocol","vernacularName","habitat","locality","identificationVerificationStatus","eventType","dynamicProperties","vitality","projectId","occurrenceRemarks","identifiedByIDs.type","identifiedByIDs.value","networkKeys","sex","establishmentMeans","gadm","higherGeography","georeferencedBy","institutionKey","collectionKey","otherCatalogNumbers","preparations","georeferencedDate","nomenclaturalCode","institutionID","fieldNumber","language","type","locationAccordingTo","organismID","previousIdentifications","identificationQualifier","accessRights","higherClassification","collectionID","programmeAcronym","eventRemarks","organismQuantity","organismQuantityType","associatedOccurrences","county","identificationRemarks","recordNumber","georeferenceProtocol","footprintWKT","georeferenceSources","acceptedNameUsage","organismName","disposition","materialSampleID","elevation","bibliographicCitation","georeferenceVerificationStatus","namePublishedInYear","ID_p","X","Y"
5063511023,"Cephalophus rufilatus Gray, 1846","cdc,cdround,txmatfuz","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2025-02-16T04:52:36.717+00:00","2025-02-16T15:56:56.912+00:00",518,"HUMAN_OBSERVATION","PRESENT",2441161,1,44,359,731,9614,2441152,2441161,2441161,"Cephalophus rufilatus Gray, 1846","Animalia","Chordata","Artiodactyla","Bovidae","Cephalophus","Cephalophus rufilatus","Cephalophus","rufilatus","SPECIES","ACCEPTED","LC","2025-01-28T18:37:16",15,"AFRICA","Nord",2025,1,23,"2025-01-23T11:01",23,23,"2025-01-29T23:25:07.000+00:00","2025-02-16T15:56:56.912+00:00","https://www.inaturalist.org/observations/259885581","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"259885581","none","none",FALSE,"iNaturalist research-grade observations","david_taylor","david_taylor","WGS84","Mammalia","CM","none","none","AFRICA","Cameroon","NORTH_AMERICA","david_taylor","259885581","david_taylor","2025/01/23 11:01 AM",5063511023,"Observations","Faro, Cameroon","https://www.inaturalist.org/observations/259885581","1430997","259885581","iNaturalist","11:01:00+01:00","wild",587440684,"Cephalophus rufilatus Gray, 1846",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1211928.30342219,1083338.35978465
5052647026,"Cephalophus rufilatus Gray, 1846","","8a863029-f435-446a-821e-275f4f641165","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","a0e05292-3d09-4eae-9f83-02ae3516283c","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","NL","DWC_ARCHIVE","2025-02-18T19:47:47.892+00:00","2025-02-19T14:26:31.179+00:00",125,"HUMAN_OBSERVATION","PRESENT",2441161,1,44,359,731,9614,2441152,2441161,2441161,"Cephalophus rufilatus Gray, 1846","Animalia","Chordata","Artiodactyla","Bovidae","Cephalophus","Cephalophus rufilatus","Cephalophus","rufilatus","SPECIES","ACCEPTED","LC",NA,12,"AFRICA","Tambacounda",2025,1,14,"2025-01-14",14,14,"2025-01-20T09:53:00.000+00:00","2025-02-19T14:26:31.179+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"337363719","none","none",FALSE,NA,"User 874646",NA,"WGS84","Mammalia","SN","none","none","AFRICA","Senegal","EUROPE","Stichting Observation International","337363719",NA,NA,5052647026,NA,NA,"https://observation.org/observation/337363719",NA,NA,NA,"07:45",NA,NA,"Cephalophus rufilatus Gray, 1846",1,"Unknown","unknown","Red-flanked Duiker","unknown","Senegal - Campament Wassadou","Approved | Automated","Observation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-1243808.25648401,1750374.59446491
5052681563,"Cephalophus rufilatus Gray, 1846","","8a863029-f435-446a-821e-275f4f641165","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","a0e05292-3d09-4eae-9f83-02ae3516283c","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","NL","DWC_ARCHIVE","2025-02-18T19:47:47.892+00:00","2025-02-19T13:50:04.426+00:00",125,"HUMAN_OBSERVATION","PRESENT",2441161,1,44,359,731,9614,2441152,2441161,2441161,"Cephalophus rufilatus Gray, 1846","Animalia","Chordata","Artiodactyla","Bovidae","Cephalophus","Cephalophus rufilatus","Cephalophus","rufilatus","SPECIES","ACCEPTED","LC",NA,6,"AFRICA","Tambacounda",2025,1,24,"2025-01-24",24,24,"2025-02-10T18:48:00.000+00:00","2025-02-19T13:50:04.426+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"337610419","none","none",FALSE,NA,"User 154459",NA,"WGS84","Mammalia","SN","none","none","AFRICA","Senegal","EUROPE","Stichting Observation International","337610419",NA,NA,5052681563,NA,NA,"https://observation.org/observation/337610419",NA,NA,NA,"17:45",NA,NA,"Cephalophus rufilatus Gray, 1846",1,"Adult","seen","Red-flanked Duiker","unknown","Niokolo Koba NP","Approved | Automated","Observation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-1230979.37148031,1709710.05521198
5052675795,"Cephalophus rufilatus Gray, 1846","","8a863029-f435-446a-821e-275f4f641165","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","a0e05292-3d09-4eae-9f83-02ae3516283c","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","NL","DWC_ARCHIVE","2025-02-18T19:47:47.892+00:00","2025-02-19T14:26:32.593+00:00",125,"HUMAN_OBSERVATION","PRESENT",2441161,1,44,359,731,9614,2441152,2441161,2441161,"Cephalophus rufilatus Gray, 1846","Animalia","Chordata","Artiodactyla","Bovidae","Cephalophus","Cephalophus rufilatus","Cephalophus","rufilatus","SPECIES","ACCEPTED","LC",NA,5,"AFRICA","Tambacounda",2025,1,24,"2025-01-24",24,24,"2025-01-25T19:39:00.000+00:00","2025-02-19T14:26:32.593+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"337610437","none","none",FALSE,NA,"User 154459",NA,"WGS84","Mammalia","SN","none","none","AFRICA","Senegal","EUROPE","Stichting Observation International","337610437",NA,NA,5052675795,NA,NA,"https://observation.org/observation/337610437",NA,NA,NA,"17:13",NA,NA,"Cephalophus rufilatus Gray, 1846",2,"Adult","seen","Red-flanked Duiker","unknown","Niokolo Koba NP","Approved | Automated","Observation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-1230077.53537468,1708244.12356802
5061350178,"Cephalophus rufilatus Gray, 1846","","8a863029-f435-446a-821e-275f4f641165","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","a0e05292-3d09-4eae-9f83-02ae3516283c","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","NL","DWC_ARCHIVE","2025-02-18T19:47:47.892+00:00","2025-02-19T13:50:05.399+00:00",125,"HUMAN_OBSERVATION","PRESENT",2441161,1,44,359,731,9614,2441152,2441161,2441161,"Cephalophus rufilatus Gray, 1846","Animalia","Chordata","Artiodactyla","Bovidae","Cephalophus","Cephalophus rufilatus","Cephalophus","rufilatus","SPECIES","ACCEPTED","LC",NA,3,"AFRICA","Tambacounda",2025,1,23,"2025-01-23",23,23,"2025-02-05T20:34:00.000+00:00","2025-02-19T13:50:05.399+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"337799308","none","none",FALSE,NA,"User 56005",NA,"WGS84","Mammalia","SN","none","none","AFRICA","Senegal","EUROPE","Stichting Observation International","337799308",NA,NA,5061350178,NA,NA,"https://observation.org/observation/337799308",NA,NA,NA,"17:48",NA,NA,"Cephalophus rufilatus Gray, 1846",1,"Unknown","seen","Red-flanked Duiker","unknown","Niokolo Koba NP","Approved | Automated","Observation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,-1230838.32296356,1709882.11818439
5061320113,"Cephalophus rufilatus Gray, 1846","","8a863029-f435-446a-821e-275f4f641165","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","a0e05292-3d09-4eae-9f83-02ae3516283c","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","NL","DWC_ARCHIVE","2025-02-18T19:47:47.892+00:00","2025-02-19T14:26:33.245+00:00",125,"HUMAN_OBSERVATION","PRESENT",2441161,1,44,359,731,9614,2441152,2441161,2441161,"Cephalophus rufilatus Gray, 1846","Animalia","Chordata","Artiodactyla","Bovidae","Cephalophus","Cephalophus rufilatus","Cephalophus","rufilatus","SPECIES","ACCEPTED","LC",NA,3,"AFRICA","Tambacounda",2025,1,23,"2025-01-23",23,23,"2025-02-05T20:37:00.000+00:00","2025-02-19T14:26:33.245+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"337799326","none","none",FALSE,NA,"User 56005",NA,"WGS84","Mammalia","SN","none","none","AFRICA","Senegal","EUROPE","Stichting Observation International","337799326",NA,NA,5061320113,NA,NA,"https://observation.org/observation/337799326",NA,NA,NA,"17:29",NA,NA,"Cephalophus rufilatus Gray, 1846",1,"Unknown","seen","Red-flanked Duiker","unknown","Niokolo Koba NP","Approved | Automated","Observation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,-1229603.10544668,1709978.27077915
4510399246,"Cephalophus rufilatus Gray, 1846","cdc,cdround,txmatfuz","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2025-02-16T04:52:36.717+00:00","2025-02-16T15:02:26.830+00:00",518,"HUMAN_OBSERVATION","PRESENT",2441161,1,44,359,731,9614,2441152,2441161,2441161,"Cephalophus rufilatus Gray, 1846","Animalia","Chordata","Artiodactyla","Bovidae","Cephalophus","Cephalophus rufilatus","Cephalophus","rufilatus","SPECIES","ACCEPTED","LC","2024-01-08T18:11:54",3391,"AFRICA","Tambacounda",2024,1,5,"2024-01-05T08:53Z",5,5,"2024-01-08T18:16:27.000+00:00","2025-02-16T15:02:26.830+00:00","https://www.inaturalist.org/observations/196137313","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"196137313","none","none",FALSE,"iNaturalist research-grade observations","Lucy Keith-Diagne","Lucy Keith-Diagne","WGS84","Mammalia","SN","none","none","AFRICA","Senegal","NORTH_AMERICA","Lucy Keith-Diagne","196137313","lucykeith-diagne","2024/01/05 8:53 AM",4510399246,"Observations","Tambacounda, Senegal","https://www.inaturalist.org/observations/196137313","1430997","196137313","iNaturalist","08:53:00+00:00","wild",441589114,"Cephalophus rufilatus Gray, 1846",NA,NA,NA,NA,NA,NA,NA,NA,"{""evidenceOfPresence"":""organism""}","alive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,-1234178.82307769,1719742.49544026
4512194797,"Cephalophus rufilatus Gray, 1846","cdc,cdround,txmatfuz","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2025-02-16T04:52:36.717+00:00","2025-02-16T15:02:37.566+00:00",518,"HUMAN_OBSERVATION","PRESENT",2441161,1,44,359,731,9614,2441152,2441161,2441161,"Cephalophus rufilatus Gray, 1846","Animalia","Chordata","Artiodactyla","Bovidae","Cephalophus","Cephalophus rufilatus","Cephalophus","rufilatus","SPECIES","ACCEPTED","LC","2024-01-11T08:26:36",113,"AFRICA","Mbomou",2024,1,5,"2024-01-05T18:05",5,5,"2024-01-11T08:38:44.000+00:00","2025-02-16T15:02:37.566+00:00","https://www.inaturalist.org/observations/196336793","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"196336793","none","none",FALSE,"iNaturalist research-grade observations","marynvdlaarse","marynvdlaarse","WGS84","Mammalia","CF","none","none","AFRICA","Central African Republic","NORTH_AMERICA","marynvdlaarse","196336793","marynvdlaarse","2024/01/05 6:05 PM",4512194797,"Observations","Rafai, Central African Republic","https://www.inaturalist.org/observations/196336793","1430997","196336793","iNaturalist","18:05:00+01:00","wild",442256610,"Cephalophus rufilatus Gray, 1846",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2238021.45941112,830163.775822473
4519097909,"Cephalophus rufilatus Gray, 1846","cdc,cdround,txmatfuz","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2025-02-16T04:52:36.717+00:00","2025-02-16T15:04:17.186+00:00",518,"HUMAN_OBSERVATION","PRESENT",2441161,1,44,359,731,9614,2441152,2441161,2441161,"Cephalophus rufilatus Gray, 1846","Animalia","Chordata","Artiodactyla","Bovidae","Cephalophus","Cephalophus rufilatus","Cephalophus","rufilatus","SPECIES","ACCEPTED","LC","2024-01-31T09:19:50",1247,"AFRICA","Mbomou",2024,1,30,"2024-01-30T18:05",30,30,"2024-01-31T12:18:24.000+00:00","2025-02-16T15:04:17.186+00:00","https://www.inaturalist.org/observations/198042577","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"198042577","none","none",FALSE,"iNaturalist research-grade observations","marynvdlaarse","marynvdlaarse","WGS84","Mammalia","CF","none","none","AFRICA","Central African Republic","NORTH_AMERICA","marynvdlaarse","198042577","marynvdlaarse","2024/01/30 6:05 PM",4519097909,"Observations","Rafai, Central African Republic","https://www.inaturalist.org/observations/198042577","1430997","198042577","iNaturalist","18:05:00+01:00","wild",447591514,"Cephalophus rufilatus Gray, 1846",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2239512.90401864,830280.799879057
4528068010,"Cephalophus rufilatus Gray, 1846","cdc,cdround,txmatfuz","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2025-02-16T04:52:36.717+00:00","2025-02-16T15:06:34.999+00:00",518,"HUMAN_OBSERVATION","PRESENT",2441161,1,44,359,731,9614,2441152,2441161,2441161,"Cephalophus rufilatus Gray, 1846","Animalia","Chordata","Artiodactyla","Bovidae","Cephalophus","Cephalophus rufilatus","Cephalophus","rufilatus","SPECIES","ACCEPTED","LC","2024-02-26T10:11:29",6337,"AFRICA","Mbomou",2024,1,27,"2024-01-27T11:27",27,27,"2024-02-26T14:17:40.000+00:00","2025-02-16T15:06:34.999+00:00","https://www.inaturalist.org/observations/200501276","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"200501276","none","none",FALSE,"iNaturalist research-grade observations","Robin Fjellström","Robin Fjellström","WGS84","Mammalia","CF","none","none","AFRICA","Central African Republic","NORTH_AMERICA","Robin Fjellström","200501276","robinfjellstrom","2024/01/27 11:27",4528068010,"Observations","Rafaï, Centralafrikanska republiken","https://www.inaturalist.org/observations/200501276","1430997","200501276","iNaturalist","11:27:00+01:00","wild",454717009,"Cephalophus rufilatus Gray, 1846",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2225908.85563268,843634.27063114
