"key","scientificName","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","projectId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","license","isSequenced","identifier","facts","relations","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs.type","identifiedByIDs.value","gbifRegion","country","publishedByGbifRegion","rightsHolder","identifier.1","http...unknown.org.nick","verbatimEventDate","gbifID","collectionCode","verbatimLocality","occurrenceID","taxonID","catalogNumber","institutionCode","http...unknown.org.captive","identificationID","name","sex","lifeStage","identifiedByIDs","eventTime","samplingProtocol","habitat","vitality","verbatimIdentification","occurrenceRemarks","dynamicProperties","establishmentMeans","higherGeography","preparations","nomenclaturalCode","dataGeneralizations","georeferenceVerificationStatus","verbatimCoordinateSystem","locality","language","type","previousIdentifications","accessRights","bibliographicCitation","higherClassification","collectionID","networkKeys","individualCount","elevation","institutionKey","collectionKey","recordNumber","institutionID","georeferenceProtocol","county","datasetID","organismID","ownerInstitutionCode","recordedByIDs.type","recordedByIDs.value","programmeAcronym","gadm","fieldNumber","elevationAccuracy","distanceFromCentroidInMeters","basionymAuthors","verbatimScientificName","basionymYear","http...unknown.org.verbatimLabel","canonicalName","taxonRemarks","vernacularName","behavior","georeferenceRemarks","disposition","georeferenceSources","X","Y"
5063370372,"Epomophorus pusillus Peters, 1868","cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2025-02-16T04:52:36.717+00:00","2025-02-16T15:56:18.939+00:00",518,"https://www.inaturalist.org/projects/afribats","HUMAN_OBSERVATION","PRESENT",7447191,1,44,359,734,9367,2432785,7447191,7447191,"Epomophorus pusillus Peters, 1868","Animalia","Chordata","Chiroptera","Pteropodidae","Epomophorus","Epomophorus pusillus","Epomophorus","pusillus","SPECIES","ACCEPTED","LC","2025-01-24T18:06:11",162,"AFRICA","Kouilou",2024,2,16,"2024-02-16",47,47,"2025-01-25T12:20:55.000+00:00","2025-02-16T15:56:18.939+00:00","https://www.inaturalist.org/observations/259418408","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"259418408","none","none",FALSE,"iNaturalist research-grade observations","antsza","Jakob Fahr","WGS84","Mammalia","CG","none","ORCID","https://orcid.org/0000-0002-9174-1204","AFRICA","Congo","NORTH_AMERICA","antsza","259418408","antsza","2024-02-16",5063370372,"Observations","Pointe Noire, République du Congo","https://www.inaturalist.org/observations/259418408","1431125","259418408","iNaturalist","wild",586225755,"Epomophorus pusillus Peters, 1868",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1110733.46231693,-603135.892236566
4892229663,"Epomophorus pusillus Peters, 1868","cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2025-02-16T04:52:36.717+00:00","2025-02-16T15:24:49.366+00:00",518,"https://www.inaturalist.org/projects/afribats","HUMAN_OBSERVATION","PRESENT",7447191,1,44,359,734,9367,2432785,7447191,7447191,"Epomophorus pusillus Peters, 1868","Animalia","Chordata","Chiroptera","Pteropodidae","Epomophorus","Epomophorus pusillus","Epomophorus","pusillus","SPECIES","ACCEPTED","LC","2024-06-05T21:52:36",NA,"AFRICA","Mbomou",2024,6,5,"2024-06-05T20:13",157,157,"2024-06-08T08:32:34.000+00:00","2025-02-16T15:24:49.366+00:00","https://www.inaturalist.org/observations/220767449","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"220767449","none","none",FALSE,"iNaturalist research-grade observations","thierry_aebischer_chinko","thierry_aebischer_chinko","WGS84","Mammalia","CF","none",NA,NA,"AFRICA","Central African Republic","NORTH_AMERICA","thierry_aebischer_chinko","220767449","thierry_aebischer_chinko","2024/06/05 8:13 PM",4892229663,"Observations","Rafai, Central African Republic","https://www.inaturalist.org/observations/220767449","1431125","220767449","iNaturalist","wild",497165466,"Epomophorus pusillus Peters, 1868","Male","Adult","none","20:13:00+01:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2237860.68563424,829757.408517411
5054227385,"Epomophorus pusillus Peters, 1868","muluriiv","233bcb90-3f32-40c5-a292-7c35093da743","a7866473-6724-4954-8340-28f3262e8e83","791e3715-7452-4dd0-a906-db21a3852427","5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a","FR","EML","2025-02-13T15:20:37.836+00:00","2025-02-13T16:31:14.275+00:00",1,NA,"HUMAN_OBSERVATION","PRESENT",7447191,1,44,359,734,9367,2432785,7447191,7447191,"Epomophorus pusillus Peters, 1868","Animalia","Chordata","Chiroptera","Pteropodidae","Epomophorus","Epomophorus pusillus","Epomophorus","pusillus","SPECIES","ACCEPTED","LC",NA,NA,"AFRICA",NA,2024,6,22,"2024-06-22",174,174,NA,"2025-02-13T16:31:14.275+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"C0179","none","none",FALSE,NA,NA,NA,"WGS84","Mammalia","SN","none",NA,NA,"AFRICA","Senegal","EUROPE",NA,"C0179",NA,NA,5054227385,NA,"KN03","C0179",NA,NA,NA,NA,NA,"Epomophorus pusillus Peters, 1868","Female",NA,"none",NA,"mist net","Orchard","alive","E.pusillus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1494770.01553979,1666640.87307081
5054227599,"Epomophorus pusillus Peters, 1868","muluriiv","233bcb90-3f32-40c5-a292-7c35093da743","a7866473-6724-4954-8340-28f3262e8e83","791e3715-7452-4dd0-a906-db21a3852427","5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a","FR","EML","2025-02-13T15:20:37.836+00:00","2025-02-13T16:31:15.509+00:00",1,NA,"HUMAN_OBSERVATION","PRESENT",7447191,1,44,359,734,9367,2432785,7447191,7447191,"Epomophorus pusillus Peters, 1868","Animalia","Chordata","Chiroptera","Pteropodidae","Epomophorus","Epomophorus pusillus","Epomophorus","pusillus","SPECIES","ACCEPTED","LC",NA,NA,"AFRICA",NA,2024,6,20,"2024-06-20",172,172,NA,"2025-02-13T16:31:15.509+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"C164","none","none",FALSE,NA,NA,NA,"WGS84","Mammalia","SN","none",NA,NA,"AFRICA","Senegal","EUROPE",NA,"C164",NA,NA,5054227599,NA,"KN02","C164",NA,NA,NA,NA,NA,"Epomophorus pusillus Peters, 1868","Female",NA,"none",NA,"mist net","Rainforest","alive","E.pusillus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1493103.72813315,1671315.81039686
5054227458,"Epomophorus pusillus Peters, 1868","muluriiv","233bcb90-3f32-40c5-a292-7c35093da743","a7866473-6724-4954-8340-28f3262e8e83","791e3715-7452-4dd0-a906-db21a3852427","5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a","FR","EML","2025-02-13T15:20:37.836+00:00","2025-02-13T16:31:14.858+00:00",1,NA,"HUMAN_OBSERVATION","PRESENT",7447191,1,44,359,734,9367,2432785,7447191,7447191,"Epomophorus pusillus Peters, 1868","Animalia","Chordata","Chiroptera","Pteropodidae","Epomophorus","Epomophorus pusillus","Epomophorus","pusillus","SPECIES","ACCEPTED","LC",NA,NA,"AFRICA",NA,2024,7,10,"2024-07-10",192,192,NA,"2025-02-13T16:31:14.858+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"C0274","none","none",FALSE,NA,NA,NA,"WGS84","Mammalia","GN","none",NA,NA,"AFRICA","Guinea","EUROPE",NA,"C0274",NA,NA,5054227458,NA,"HN02","C0274",NA,NA,NA,NA,NA,"Epomophorus pusillus Peters, 1868","Male",NA,"none",NA,"mist net","On deck","alive","E.pusillus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-977237.099702005,1345777.49746086
5054227472,"Epomophorus pusillus Peters, 1868","","233bcb90-3f32-40c5-a292-7c35093da743","a7866473-6724-4954-8340-28f3262e8e83","791e3715-7452-4dd0-a906-db21a3852427","5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a","FR","EML","2025-02-13T15:20:37.836+00:00","2025-02-13T16:31:14.897+00:00",1,NA,"HUMAN_OBSERVATION","PRESENT",7447191,1,44,359,734,9367,2432785,7447191,7447191,"Epomophorus pusillus Peters, 1868","Animalia","Chordata","Chiroptera","Pteropodidae","Epomophorus","Epomophorus pusillus","Epomophorus","pusillus","SPECIES","ACCEPTED","LC",NA,NA,"AFRICA",NA,2024,7,11,"2024-07-11",193,193,NA,"2025-02-13T16:31:14.897+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"C0281","none","none",FALSE,NA,NA,NA,"WGS84","Mammalia","GN","none",NA,NA,"AFRICA","Guinea","EUROPE",NA,"C0281",NA,NA,5054227472,NA,"HN03","C0281",NA,NA,NA,NA,NA,"Epomophorus pusillus Peters, 1868","Male",NA,"none",NA,"mist net","Riverside","alive","E.pusillus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-975171.03181359,1376580.6346833
5054227370,"Epomophorus pusillus Peters, 1868","muluriiv","233bcb90-3f32-40c5-a292-7c35093da743","a7866473-6724-4954-8340-28f3262e8e83","791e3715-7452-4dd0-a906-db21a3852427","5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a","FR","EML","2025-02-13T15:20:37.836+00:00","2025-02-13T16:31:14.156+00:00",1,NA,"HUMAN_OBSERVATION","PRESENT",7447191,1,44,359,734,9367,2432785,7447191,7447191,"Epomophorus pusillus Peters, 1868","Animalia","Chordata","Chiroptera","Pteropodidae","Epomophorus","Epomophorus pusillus","Epomophorus","pusillus","SPECIES","ACCEPTED","LC",NA,NA,"AFRICA",NA,2024,7,11,"2024-07-11",193,193,NA,"2025-02-13T16:31:14.156+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"C0283","none","none",FALSE,NA,NA,NA,"WGS84","Mammalia","GN","none",NA,NA,"AFRICA","Guinea","EUROPE",NA,"C0283",NA,NA,5054227370,NA,"HN03","C0283",NA,NA,NA,NA,NA,"Epomophorus pusillus Peters, 1868","Female",NA,"none",NA,"mist net","Riverside","alive","E.pusillus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-975171.03181359,1376580.6346833
5054227367,"Epomophorus pusillus Peters, 1868","muluriiv","233bcb90-3f32-40c5-a292-7c35093da743","a7866473-6724-4954-8340-28f3262e8e83","791e3715-7452-4dd0-a906-db21a3852427","5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a","FR","EML","2025-02-13T15:20:37.836+00:00","2025-02-13T16:31:14.049+00:00",1,NA,"HUMAN_OBSERVATION","PRESENT",7447191,1,44,359,734,9367,2432785,7447191,7447191,"Epomophorus pusillus Peters, 1868","Animalia","Chordata","Chiroptera","Pteropodidae","Epomophorus","Epomophorus pusillus","Epomophorus","pusillus","SPECIES","ACCEPTED","LC",NA,NA,"AFRICA",NA,2024,7,11,"2024-07-11",193,193,NA,"2025-02-13T16:31:14.049+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"C0286","none","none",FALSE,NA,NA,NA,"WGS84","Mammalia","GN","none",NA,NA,"AFRICA","Guinea","EUROPE",NA,"C0286",NA,NA,5054227367,NA,"HN03","C0286",NA,NA,NA,NA,NA,"Epomophorus pusillus Peters, 1868","Female",NA,"none",NA,"mist net","Riverside","alive","E.pusillus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-975171.03181359,1376580.6346833
5054227360,"Epomophorus pusillus Peters, 1868","muluriiv","233bcb90-3f32-40c5-a292-7c35093da743","a7866473-6724-4954-8340-28f3262e8e83","791e3715-7452-4dd0-a906-db21a3852427","5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a","FR","EML","2025-02-13T15:20:37.836+00:00","2025-02-13T16:31:13.999+00:00",1,NA,"HUMAN_OBSERVATION","PRESENT",7447191,1,44,359,734,9367,2432785,7447191,7447191,"Epomophorus pusillus Peters, 1868","Animalia","Chordata","Chiroptera","Pteropodidae","Epomophorus","Epomophorus pusillus","Epomophorus","pusillus","SPECIES","ACCEPTED","LC",NA,NA,"AFRICA",NA,2024,7,11,"2024-07-11",193,193,NA,"2025-02-13T16:31:13.999+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"C0287","none","none",FALSE,NA,NA,NA,"WGS84","Mammalia","GN","none",NA,NA,"AFRICA","Guinea","EUROPE",NA,"C0287",NA,NA,5054227360,NA,"HN03","C0287",NA,NA,NA,NA,NA,"Epomophorus pusillus Peters, 1868","Female",NA,"none",NA,"mist net","Riverside","alive","E.pusillus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-975171.03181359,1376580.6346833
5054227356,"Epomophorus pusillus Peters, 1868","muluriiv","233bcb90-3f32-40c5-a292-7c35093da743","a7866473-6724-4954-8340-28f3262e8e83","791e3715-7452-4dd0-a906-db21a3852427","5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a","FR","EML","2025-02-13T15:20:37.836+00:00","2025-02-13T16:31:13.976+00:00",1,NA,"HUMAN_OBSERVATION","PRESENT",7447191,1,44,359,734,9367,2432785,7447191,7447191,"Epomophorus pusillus Peters, 1868","Animalia","Chordata","Chiroptera","Pteropodidae","Epomophorus","Epomophorus pusillus","Epomophorus","pusillus","SPECIES","ACCEPTED","LC",NA,NA,"AFRICA",NA,2024,7,11,"2024-07-11",193,193,NA,"2025-02-13T16:31:13.976+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"C0289","none","none",FALSE,NA,NA,NA,"WGS84","Mammalia","GN","none",NA,NA,"AFRICA","Guinea","EUROPE",NA,"C0289",NA,NA,5054227356,NA,"HN03","C0289",NA,NA,NA,NA,NA,"Epomophorus pusillus Peters, 1868","Female",NA,"none",NA,"mist net","Riverside","alive","E.pusillus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-975171.03181359,1376580.6346833
