"key","scientificName","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","license","isSequenced","identifier","facts","relations","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","identifier.1","http...unknown.org.nick","informationWithheld","verbatimEventDate","gbifID","collectionCode","occurrenceID","taxonID","catalogNumber","institutionCode","eventTime","http...unknown.org.captive","identificationID","name","verbatimLocality","infraspecificEpithet","vitality","sex","lifeStage","dynamicProperties","gadm","occurrenceRemarks","projectId","recordedByIDs.type","recordedByIDs.value","identifiedByIDs.type","identifiedByIDs.value","locality","individualCount","organismQuantity","organismQuantityType","networkKeys","institutionKey","collectionKey","preparations","institutionID","collectionID","higherClassification","higherGeography","georeferencedBy","otherCatalogNumbers","samplingProtocol","associatedOccurrences","county","eventRemarks","language","type","locationAccordingTo","locationRemarks","identificationRemarks","georeferencedDate","nomenclaturalCode","georeferenceProtocol","footprintWKT","verbatimCoordinateSystem","organismID","previousIdentifications","identificationQualifier","accessRights","georeferenceSources","georeferenceVerificationStatus","eventID","programmeAcronym","habitat","vernacularName","associatedSequences","taxonConceptID","georeferenceRemarks","datasetID","taxonRemarks","disposition","ownerInstitutionCode","bibliographicCitation","elevation","elevationAccuracy","depth","depthAccuracy","locationID","establishmentMeans","acceptedNameUsage","organismName","fieldNumber","recordNumber","ID_p","X","Y"
5063697002,"Pan troglodytes schweinfurthii (Giglioli, 1872)","cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2025-02-16T04:52:36.717+00:00","2025-02-16T15:57:39.402+00:00",518,"HUMAN_OBSERVATION","PRESENT",5707421,1,44,359,798,5483,2436437,5219534,5707421,"Pan troglodytes schweinfurthii (Giglioli, 1872)","Animalia","Chordata","Primates","Hominidae","Pan","Pan troglodytes","Pan","troglodytes","SUBSPECIES","ACCEPTED","EN","2025-02-03T06:52:04",31451,"AFRICA",NA,2025,1,28,"2025-01-28T09:24",28,28,"2025-02-03T11:20:38.000+00:00","2025-02-16T15:57:39.402+00:00","https://www.inaturalist.org/observations/260424643","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"260424643","none","none",FALSE,"iNaturalist research-grade observations","Burak Doğansoysal","Michal Sloviak","WGS84","Mammalia","UG","none","none","AFRICA","Uganda","NORTH_AMERICA","Burak Doğansoysal","260424643","burakdogansoysal","Coordinate uncertainty increased to 31451m to protect threatened taxon","2025/01/28 9:24 AM",5063697002,"Observations","https://www.inaturalist.org/observations/260424643","147740","260424643","iNaturalist","09:24:00+03:00","wild",589049302,"Pan troglodytes schweinfurthii (Giglioli, 1872)","Uganda","schweinfurthii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2852903.53215171,54428.4936735713
4512341253,"Pan troglodytes schweinfurthii (Giglioli, 1872)","cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2025-02-16T04:52:36.717+00:00","2025-02-16T15:02:54.259+00:00",518,"HUMAN_OBSERVATION","PRESENT",5707421,1,44,359,798,5483,2436437,5219534,5707421,"Pan troglodytes schweinfurthii (Giglioli, 1872)","Animalia","Chordata","Primates","Hominidae","Pan","Pan troglodytes","Pan","troglodytes","SUBSPECIES","ACCEPTED","EN","2024-01-14T15:27:50",31451,"AFRICA","Kamwenge",2024,1,8,"2024-01-08T09:25",8,8,"2024-02-10T16:52:24.000+00:00","2025-02-16T15:02:54.259+00:00","https://www.inaturalist.org/observations/196666888","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"196666888","none","none",FALSE,"iNaturalist research-grade observations","imaggini","Michal Sloviak","WGS84","Mammalia","UG","none","none","AFRICA","Uganda","NORTH_AMERICA","imaggini","196666888","imaggini","Coordinate uncertainty increased to 31451m to protect threatened taxon","2024/01/08 9:25 AM",4512341253,"Observations","https://www.inaturalist.org/observations/196666888","147740","196666888","iNaturalist","09:25:00+03:00","wild",443176527,"Pan troglodytes schweinfurthii (Giglioli, 1872)","Uganda","schweinfurthii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2857490.5927811,74544.8142768075
4519234692,"Pan troglodytes schweinfurthii (Giglioli, 1872)","cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2025-02-16T04:52:36.717+00:00","2025-02-16T15:04:40.101+00:00",518,"HUMAN_OBSERVATION","PRESENT",5707421,1,44,359,798,5483,2436437,5219534,5707421,"Pan troglodytes schweinfurthii (Giglioli, 1872)","Animalia","Chordata","Primates","Hominidae","Pan","Pan troglodytes","Pan","troglodytes","SUBSPECIES","ACCEPTED","EN","2024-02-04T18:47:19",31451,"AFRICA","Kamwenge",2024,1,29,"2024-01-29T10:59",29,29,"2024-02-14T05:40:39.000+00:00","2025-02-16T15:04:40.101+00:00","https://www.inaturalist.org/observations/198410009","http://creativecommons.org/publicdomain/zero/1.0/legalcode",FALSE,"198410009","none","none",FALSE,"iNaturalist research-grade observations","Erwin Sieben","Michal Sloviak","WGS84","Mammalia","UG","none","none","AFRICA","Uganda","NORTH_AMERICA","Erwin Sieben","198410009","erwinsieben","Coordinate uncertainty increased to 31451m at the request of the observer","2024/01/29 10:59 AM",4519234692,"Observations","https://www.inaturalist.org/observations/198410009","147740","198410009","iNaturalist","10:59:00+03:00","wild",448702661,"Pan troglodytes schweinfurthii (Giglioli, 1872)","Uganda","schweinfurthii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2865749.25100108,61456.6546629133
4522671705,"Pan troglodytes troglodytes","cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2025-02-16T04:52:36.717+00:00","2025-02-16T15:05:03.054+00:00",518,"HUMAN_OBSERVATION","PRESENT",7262069,1,44,359,798,5483,2436437,5219534,7262069,"Pan troglodytes troglodytes","Animalia","Chordata","Primates","Hominidae","Pan","Pan troglodytes","Pan","troglodytes","SUBSPECIES","ACCEPTED","EN","2024-02-09T14:54:12",31444,"AFRICA","Haut-Ogooué",2024,1,17,"2024-01-17T09:12",17,17,"2024-02-10T16:39:53.000+00:00","2025-02-16T15:05:03.054+00:00","https://www.inaturalist.org/observations/198810899","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"198810899","none","none",FALSE,"iNaturalist research-grade observations","bureaubenjamin","bureaubenjamin","WGS84","Mammalia","GA","none","none","AFRICA","Gabon","NORTH_AMERICA","bureaubenjamin","198810899","bureaubenjamin","Coordinate uncertainty increased to 31444m to protect threatened taxon","2024/01/17 09:12",4522671705,"Observations","https://www.inaturalist.org/observations/198810899","147737","198810899","iNaturalist","09:12:00+01:00","wild",450007789,"Pan troglodytes troglodytes","Gabon","troglodytes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1210649.55709689,-228243.684797737
4525326122,"Pan troglodytes schweinfurthii (Giglioli, 1872)","cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2025-02-16T04:52:36.717+00:00","2025-02-16T15:06:04.546+00:00",518,"HUMAN_OBSERVATION","PRESENT",5707421,1,44,359,798,5483,2436437,5219534,5707421,"Pan troglodytes schweinfurthii (Giglioli, 1872)","Animalia","Chordata","Primates","Hominidae","Pan","Pan troglodytes","Pan","troglodytes","SUBSPECIES","ACCEPTED","EN","2024-02-20T12:50:56",31436,"AFRICA","Iburengerazuba",2024,1,11,"2024-01-11T14:40",11,11,"2024-02-20T23:35:48.000+00:00","2025-02-16T15:06:04.546+00:00","https://www.inaturalist.org/observations/199890242","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"199890242","none","none",FALSE,"iNaturalist research-grade observations","Hassan Al-Razi","Stephen Kent","WGS84","Mammalia","RW","none","none","AFRICA","Rwanda","NORTH_AMERICA","Hassan Al-Razi","199890242","harazi","Coordinate uncertainty increased to 31436m to protect threatened taxon","2024/01/11 2:40 PM",4525326122,"Observations","https://www.inaturalist.org/observations/199890242","147740","199890242","iNaturalist","14:40:00+02:00","wild",453007418,"Pan troglodytes schweinfurthii (Giglioli, 1872)","Iburengerazuba, RW","schweinfurthii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2748415.90737494,-327148.702811015
4597006978,"Pan troglodytes schweinfurthii (Giglioli, 1872)","cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2025-02-16T04:52:36.717+00:00","2025-02-16T15:08:12.555+00:00",518,"HUMAN_OBSERVATION","PRESENT",5707421,1,44,359,798,5483,2436437,5219534,5707421,"Pan troglodytes schweinfurthii (Giglioli, 1872)","Animalia","Chordata","Primates","Hominidae","Pan","Pan troglodytes","Pan","troglodytes","SUBSPECIES","ACCEPTED","EN","2024-03-14T19:21:06",31451,"AFRICA","Kamwenge",2024,1,26,"2024-01-26T15:29",26,26,"2024-03-17T15:52:57.000+00:00","2025-02-16T15:08:12.555+00:00","https://www.inaturalist.org/observations/202436728","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"202436728","none","none",FALSE,"iNaturalist research-grade observations","charriu83","charriu83","WGS84","Mammalia","UG","none","none","AFRICA","Uganda","NORTH_AMERICA","charriu83","202436728","charriu83","Coordinate uncertainty increased to 31451m to protect threatened taxon","2024/01/26 15:29",4597006978,"Observations","https://www.inaturalist.org/observations/202436728","147740","202436728","iNaturalist","15:29:00+03:00","wild",459779866,"Pan troglodytes schweinfurthii (Giglioli, 1872)","Uganda","schweinfurthii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2869447.40798551,56209.8901952002
4909075255,"Pan troglodytes troglodytes","cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2025-02-16T04:52:36.717+00:00","2025-02-16T15:32:50.350+00:00",518,"HUMAN_OBSERVATION","PRESENT",7262069,1,44,359,798,5483,2436437,5219534,7262069,"Pan troglodytes troglodytes","Animalia","Chordata","Primates","Hominidae","Pan","Pan troglodytes","Pan","troglodytes","SUBSPECIES","ACCEPTED","EN","2024-07-12T14:58:17",31444,"AFRICA","Haut-Ogooué",2024,1,11,"2024-01-11T09:19",11,11,"2024-07-12T19:34:59.000+00:00","2025-02-16T15:32:50.350+00:00","https://www.inaturalist.org/observations/228834907","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"228834907","none","none",FALSE,"iNaturalist research-grade observations","Parc de la Lékédi","Parc de la Lékédi","WGS84","Mammalia","GA","none","none","AFRICA","Gabon","NORTH_AMERICA","Parc de la Lékédi","228834907","parc-de-la-lekedi","Coordinate uncertainty increased to 31444m to protect threatened taxon","2024/01/11 09:19",4909075255,"Observations","https://www.inaturalist.org/observations/228834907","147737","228834907","iNaturalist","09:19:00+01:00","wild",513399802,"Pan troglodytes troglodytes","Gabon","troglodytes",NA,NA,NA,NA,NA,"Trail Camera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,1220137.71611385,-234716.625298728
4921933185,"Pan troglodytes schweinfurthii (Giglioli, 1872)","cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2025-02-16T04:52:36.717+00:00","2025-02-16T19:23:29.245+00:00",518,"HUMAN_OBSERVATION","PRESENT",5707421,1,44,359,798,5483,2436437,5219534,5707421,"Pan troglodytes schweinfurthii (Giglioli, 1872)","Animalia","Chordata","Primates","Hominidae","Pan","Pan troglodytes","Pan","troglodytes","SUBSPECIES","ACCEPTED","EN","2024-08-05T16:40:46",31451,"AFRICA",NA,2024,1,29,"2024-01-29T08:44",29,29,"2024-09-23T01:40:19.000+00:00","2025-02-16T19:23:29.245+00:00","https://www.inaturalist.org/observations/233958517","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"233958517","none","none",FALSE,"iNaturalist research-grade observations","Royle Safaris","Michal Sloviak","WGS84","Mammalia","UG","none","none","AFRICA","Uganda","NORTH_AMERICA","Royle Safaris","233958517","roylesafaris","Coordinate uncertainty increased to 31451m to protect threatened taxon","2024/01/29 8:44 AM",4921933185,"Observations","https://www.inaturalist.org/observations/233958517","147740","233958517","iNaturalist","08:44:00+03:00","wild",523843379,"Pan troglodytes schweinfurthii (Giglioli, 1872)","Uganda","schweinfurthii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,2853029.92007376,69468.9324768005
4921587321,"Pan troglodytes schweinfurthii (Giglioli, 1872)","cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2025-02-16T04:52:36.717+00:00","2025-02-16T15:38:18.877+00:00",518,"HUMAN_OBSERVATION","PRESENT",5707421,1,44,359,798,5483,2436437,5219534,5707421,"Pan troglodytes schweinfurthii (Giglioli, 1872)","Animalia","Chordata","Primates","Hominidae","Pan","Pan troglodytes","Pan","troglodytes","SUBSPECIES","ACCEPTED","EN","2024-08-05T16:40:35",31451,"AFRICA",NA,2024,1,29,"2024-01-29T06:58",29,29,"2024-09-23T01:40:18.000+00:00","2025-02-16T15:38:18.877+00:00","https://www.inaturalist.org/observations/233958518","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"233958518","none","none",FALSE,"iNaturalist research-grade observations","Royle Safaris","Michal Sloviak","WGS84","Mammalia","UG","none","none","AFRICA","Uganda","NORTH_AMERICA","Royle Safaris","233958518","roylesafaris","Coordinate uncertainty increased to 31451m to protect threatened taxon","2024/01/29 6:58 AM",4921587321,"Observations","https://www.inaturalist.org/observations/233958518","147740","233958518","iNaturalist","06:58:00+03:00","wild",523843305,"Pan troglodytes schweinfurthii (Giglioli, 1872)","Uganda","schweinfurthii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,2850309.80854245,62058.9314400462
4921804220,"Pan troglodytes schweinfurthii (Giglioli, 1872)","cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2025-02-16T04:52:36.717+00:00","2025-02-16T15:38:18.591+00:00",518,"HUMAN_OBSERVATION","PRESENT",5707421,1,44,359,798,5483,2436437,5219534,5707421,"Pan troglodytes schweinfurthii (Giglioli, 1872)","Animalia","Chordata","Primates","Hominidae","Pan","Pan troglodytes","Pan","troglodytes","SUBSPECIES","ACCEPTED","EN","2024-08-05T16:40:19",31451,"AFRICA",NA,2024,1,29,"2024-01-29T05:26",29,29,"2024-09-23T01:40:16.000+00:00","2025-02-16T15:38:18.591+00:00","https://www.inaturalist.org/observations/233958525","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"233958525","none","none",FALSE,"iNaturalist research-grade observations","Royle Safaris","Michal Sloviak","WGS84","Mammalia","UG","none","none","AFRICA","Uganda","NORTH_AMERICA","Royle Safaris","233958525","roylesafaris","Coordinate uncertainty increased to 31451m to protect threatened taxon","2024/01/29 5:26 AM",4921804220,"Observations","https://www.inaturalist.org/observations/233958525","147740","233958525","iNaturalist","05:26:00+03:00","wild",523843191,"Pan troglodytes schweinfurthii (Giglioli, 1872)","Uganda","schweinfurthii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,2854877.44353278,63925.2102047348
